1.239097363744330993e+00 1.067350154246397587e+01 1.322843272186840302e+01 1.314598208003655877e+01 3.838239243268448120e-01
1.036044657314511896e+00 1.195703663953059248e+01 1.374077191077859972e+01 1.202249998279971166e+01 4.556857406942370625e-01
1.066251352246486928e+00 1.086333608047290156e+01 1.357256018805755460e+01 1.268826446761067572e+01 3.917640659662627867e-01
1.052752325264947775e+00 1.180806205424981314e+01 1.481423339013937479e+01 1.365517677636896110e+01 3.849774069356778350e-01
1.002767577741216831e+00 1.062780907171667444e+01 1.493539052715578919e+01 1.397222181637174643e+01 4.624916901079769160e-01
1.098809452631075878e+00 1.280360104618455352e+01 1.316717376461658695e+01 1.278597967502407862e+01 3.860319705227677201e-01
1.224390338573122960e+00 1.267865277103582500e+01 1.445342800128037020e+01 1.304176601095848831e+01 4.983304581252964160e-01
1.141529222467330129e+00 1.068037007093143842e+01 1.507984029950882920e+01 1.323922211655898451e+01 4.489617016774657965e-01
1.067528834067266175e+00 1.137397320443481519e+01 1.284673746198167166e+01 1.198619658468095395e+01 3.246268249463900579e-01
1.180014677035835291e+00 1.148595974409142251e+01 1.502878417310172665e+01 1.329519494834672777e+01 3.116767278486737291e-01
1.054103271298661992e+00 1.082293374482413029e+01 1.445707154047388343e+01 1.407746095055879465e+01 3.344278975299344592e-01
1.132340592760551878e+00 1.130153362363986425e+01 1.426595455898855747e+01 1.236236308749211865e+01 3.107588598957204407e-01
1.034441401495416413e+00 1.085974352244960528e+01 1.359443371562403158e+01 1.415845783188976625e+01 3.017777285489492978e-01
1.101349361673970906e+00 1.280971084507133639e+01 1.251899351312681752e+01 1.170086987886536889e+01 4.103488827392359761e-01
1.004354086764627674e+00 1.295218308203513402e+01 1.518895557626715842e+01 1.202995673886811545e+01 3.389434565942121558e-01
1.135744464916397467e+00 1.275981813029795653e+01 1.320895492231660739e+01 1.330100177617903157e+01 3.268342494243017260e-01
1.059027267603885658e+00 1.081565501118365624e+01 1.395570673255580907e+01 1.272939350134877401e+01 3.374760140723516710e-01
1.039767560943739566e+00 1.131137026866664108e+01 1.463383454769227399e+01 1.321360075113755705e+01 3.785271200120320367e-01
1.140893921270023093e+00 1.147086884148222374e+01 1.409882276140099577e+01 1.381018749822484359e+01 4.808318664722154856e-01
1.155789978607649093e+00 1.243996015286337453e+01 1.376774429643235997e+01 1.194364630323065590e+01 3.328437008325167978e-01
1.158068246605018947e+00 1.054140072191851196e+01 1.492194592551935806e+01 1.265541989904118836e+01 3.140059326617529178e-01
1.182945950775123212e+00 1.112410454770974333e+01 1.423262229389254152e+01 1.393286050328858217e+01 3.284209794716606567e-01
1.178550594927947781e+00 1.064666449911572776e+01 1.500084257584074443e+01 1.364564765629128651e+01 3.527559522761881672e-01
1.150799434928821086e+00 1.097296277615371451e+01 1.476396296223852822e+01 1.232755097735600813e+01 3.104209484979472689e-01
